date,dow,TEMP,RH,pm25,tot,cvd,resp
03/09/2000,5,74.3,81.336104,20.5129302,38,13,4
03/10/2000,6,74,82.7218245,15.1929185,48,13,3
03/11/2000,7,61.5,65.1906153,6.6674624,54,17,4
03/12/2000,1,54.2,57.4450676,7.86910224,37,9,4
03/13/2000,2,57.8,70.8490476,10.8940752,48,11,4
03/14/2000,3,62.7,84.6316078,12.3239429,46,18,2
03/15/2000,4,67.1,85.199733,4.98516663,52,19,3
03/16/2000,5,66.7,83.6871192,15.2485438,37,16,2
03/17/2000,6,66.1,77.3515878,10.1873787,55,20,3
03/18/2000,7,64.2,82.3387695,13.9925863,44,10,2
03/19/2000,1,61.4,59.3534878,5.08502862,52,15,4
03/20/2000,2,58.1,60.2605958,8.79489551,59,21,2
03/21/2000,3,66.7,83.3920939,7.27403449,57,22,4
03/22/2000,4,71,89.0379893,10.7512569,39,11,1
03/23/2000,5,70.3,81.328467,8.99911156,49,20,3
03/24/2000,6,71.8,85.474443,14.8334205,57,18,3
03/25/2000,7,71.4,81.6912143,12.1585056,45,15,2
03/26/2000,1,71.9,84.6008983,10.2298803,42,8,2
03/27/2000,2,74.4,73.5963019,12.3102905,47,15,3
03/28/2000,3,68.9,83.8287786,14.2410411,52,16,8
03/29/2000,4,75.8,81.7216303,17.3273877,44,14,3
03/30/2000,5,72.1,68.8655411,13.5359004,45,13,3
03/31/2000,6,66.2,73.3104465,19.4853462,38,8,2
04/01/2000,7,70.2,88.3897476,20.6422489,50,14,4
04/02/2000,1,70.3,94.3635296,7.30832225,42,14,5
04/03/2000,2,65.1,86.2954838,7.28988481,49,15,4
04/04/2000,3,58.1,52.0684288,4.26418272,43,9,4
04/05/2000,4,60,62.8446158,9.67156199,60,20,3
04/06/2000,5,66.4,76.8268702,7.69113826,42,13,3
04/07/2000,6,71.8,77.2970819,9.60326617,38,11,1
04/08/2000,7,66.5,48.7361409,5.02460297,42,14,3
04/09/2000,1,58.5,55.2355134,6.61319535,43,11,5
04/10/2000,2,66.1,75.708184,8.71933698,50,13,1
04/11/2000,3,71,79.4184066,10.3190912,38,14,0
04/12/2000,4,67.9,87.3609798,5.99554196,56,21,2
04/13/2000,5,62,83.3784069,11.7252268,45,11,0
04/14/2000,6,61.3,78.3456955,17.2861509,47,16,4
04/15/2000,7,68.6,77.2930477,15.7249982,57,15,1
04/16/2000,1,73.3,81.8257069,9.82660706,42,14,3
04/17/2000,2,72.4,82.6138298,23.0097642,45,22,3
04/18/2000,3,72.8,79.559858,12.952167,51,15,2
04/19/2000,4,75.8,82.8421654,11.7252268,40,14,4
04/20/2000,5,76.1,71.9990134,9.67156199,53,21,5
04/21/2000,6,73.3,43.7470234,8.91138575,48,9,5
